"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
0,1,0.973,0.73,0.243,1,1,0.04,NA,0,-0.027,-0.315,NA
1,1.042,0.986,0.74,0.247,1.076,1.02,0.041,0.076,0.114,0.059,-0.228,0.087
2,1.079,0.998,0.748,0.249,1.157,1.04,0.042,0.075,0.222,0.144,-0.144,0.084
3,1.114,1.008,0.756,0.252,1.243,1.061,0.042,0.074,0.326,0.226,-0.062,0.082
4,1.146,1.018,0.763,0.254,1.335,1.082,0.043,0.074,0.425,0.306,0.019,0.08
5,1.175,1.026,0.77,0.257,1.432,1.104,0.044,0.073,0.52,0.385,0.097,0.079
6,1.201,1.034,0.775,0.258,1.536,1.126,0.045,0.072,0.612,0.462,0.175,0.077
7,1.225,1.041,0.78,0.26,1.646,1.149,0.046,0.072,0.702,0.538,0.25,0.076
8,1.248,1.047,0.785,0.262,1.763,1.172,0.047,0.071,0.788,0.613,0.325,0.074
9,1.268,1.052,0.789,0.263,1.887,1.195,0.048,0.07,0.873,0.686,0.398,0.073
10,1.287,1.058,0.793,0.264,2.018,1.219,0.049,0.07,0.955,0.758,0.47,0.072
11,1.305,1.062,0.797,0.266,2.157,1.243,0.05,0.069,1.035,0.829,0.542,0.071
12,1.321,1.067,0.8,0.267,2.305,1.268,0.051,0.069,1.114,0.9,0.612,0.07
13,1.336,1.071,0.803,0.268,2.462,1.294,0.052,0.068,1.191,0.969,0.682,0.07
14,1.35,1.074,0.806,0.269,2.628,1.319,0.053,0.067,1.267,1.038,0.75,0.069
15,1.364,1.078,0.808,0.269,2.804,1.346,0.054,0.067,1.341,1.106,0.818,0.068
16,1.376,1.081,0.811,0.27,2.991,1.373,0.055,0.066,1.415,1.173,0.886,0.067
17,1.387,1.084,0.813,0.271,3.188,1.4,0.056,0.066,1.487,1.24,0.952,0.067
18,1.398,1.087,0.815,0.272,3.397,1.428,0.057,0.066,1.558,1.306,1.019,0.066
19,1.408,1.089,0.817,0.272,3.619,1.457,0.058,0.065,1.628,1.372,1.084,0.065
20,1.418,1.092,0.819,0.273,3.853,1.486,0.059,0.065,1.698,1.437,1.149,0.065
21,1.427,1.094,0.821,0.274,4.101,1.516,0.061,0.064,1.767,1.501,1.213,0.064
22,1.436,1.096,0.822,0.274,4.363,1.546,0.062,0.064,1.835,1.565,1.277,0.064
23,1.444,1.098,0.824,0.275,4.64,1.577,0.063,0.064,1.902,1.628,1.341,0.063
24,1.451,1.1,0.825,0.275,4.933,1.608,0.064,0.063,1.968,1.691,1.404,0.063
25,1.459,1.102,0.827,0.276,5.242,1.641,0.066,0.063,2.034,1.754,1.466,0.063
26,1.466,1.104,0.828,0.276,5.57,1.673,0.067,0.062,2.1,1.816,1.528,0.062
27,1.472,1.106,0.829,0.276,5.916,1.707,0.068,0.062,2.164,1.878,1.59,0.062
28,1.479,1.107,0.83,0.277,6.281,1.741,0.07,0.062,2.229,1.939,1.652,0.061
29,1.485,1.109,0.831,0.277,6.667,1.776,0.071,0.061,2.293,2,1.713,0.061
30,1.491,1.11,0.833,0.278,7.075,1.811,0.072,0.061,2.356,2.061,1.773,0.061
31,1.496,1.111,0.834,0.278,7.505,1.848,0.074,0.061,2.419,2.121,1.834,0.06
32,1.502,1.113,0.835,0.278,7.959,1.885,0.075,0.061,2.481,2.181,1.894,0.06
33,1.507,1.114,0.836,0.279,8.439,1.922,0.077,0.06,2.543,2.241,1.953,0.06
34,1.512,1.115,0.836,0.279,8.945,1.961,0.078,0.06,2.605,2.3,2.013,0.059
35,1.517,1.116,0.837,0.279,9.479,2,0.08,0.06,2.666,2.359,2.072,0.059
36,1.522,1.118,0.838,0.279,10.042,2.04,0.082,0.059,2.727,2.418,2.13,0.059
37,1.526,1.119,0.839,0.28,10.637,2.081,0.083,0.059,2.787,2.477,2.189,0.058
38,1.531,1.12,0.84,0.28,11.264,2.122,0.085,0.059,2.847,2.535,2.247,0.058
39,1.535,1.121,0.841,0.28,11.925,2.165,0.087,0.059,2.907,2.593,2.305,0.058
40,1.539,1.122,0.841,0.28,12.622,2.208,0.088,0.058,2.967,2.65,2.363,0.058
41,1.543,1.123,0.842,0.281,13.357,2.252,0.09,0.058,3.026,2.708,2.42,0.057
42,1.547,1.124,0.843,0.281,14.132,2.297,0.092,0.058,3.085,2.765,2.477,0.057
43,1.551,1.125,0.843,0.281,14.948,2.343,0.094,0.058,3.143,2.822,2.534,0.057
44,1.555,1.126,0.844,0.281,15.809,2.39,0.096,0.058,3.202,2.879,2.591,0.057
45,1.558,1.126,0.845,0.282,16.715,2.438,0.098,0.057,3.26,2.935,2.648,0.057
46,1.562,1.127,0.845,0.282,17.671,2.487,0.099,0.057,3.318,2.992,2.704,0.056
47,1.565,1.128,0.846,0.282,18.677,2.536,0.101,0.057,3.375,3.048,2.76,0.056
48,1.568,1.129,0.847,0.282,19.737,2.587,0.103,0.057,3.433,3.104,2.816,0.056
49,1.572,1.13,0.847,0.282,20.854,2.639,0.106,0.057,3.49,3.159,2.872,0.056
50,1.575,1.13,0.848,0.283,22.03,2.692,0.108,0.056,3.547,3.215,2.927,0.056
51,1.578,1.131,0.848,0.283,23.268,2.745,0.11,0.056,3.603,3.27,2.983,0.055
52,1.581,1.132,0.849,0.283,24.572,2.8,0.112,0.056,3.66,3.325,3.038,0.055
53,1.584,1.132,0.849,0.283,25.944,2.856,0.114,0.056,3.716,3.38,3.093,0.055
54,1.587,1.133,0.85,0.283,27.389,2.913,0.117,0.056,3.772,3.435,3.147,0.055
55,1.59,1.134,0.85,0.283,28.909,2.972,0.119,0.056,3.828,3.49,3.202,0.055
56,1.592,1.134,0.851,0.284,30.51,3.031,0.121,0.055,3.883,3.544,3.257,0.054
57,1.595,1.135,0.851,0.284,32.194,3.092,0.124,0.055,3.939,3.598,3.311,0.054
58,1.598,1.136,0.852,0.284,33.966,3.154,0.126,0.055,3.994,3.653,3.365,0.054
59,1.6,1.136,0.852,0.284,35.831,3.217,0.129,0.055,4.049,3.707,3.419,0.054
60,1.603,1.137,0.853,0.284,37.792,3.281,0.131,0.055,4.104,3.76,3.473,0.054
61,1.605,1.137,0.853,0.284,39.856,3.347,0.134,0.055,4.158,3.814,3.526,0.054
62,1.608,1.138,0.854,0.285,42.026,3.414,0.137,0.054,4.213,3.868,3.58,0.054
63,1.61,1.139,0.854,0.285,44.309,3.482,0.139,0.054,4.267,3.921,3.633,0.053
64,1.612,1.139,0.854,0.285,46.71,3.551,0.142,0.054,4.322,3.974,3.687,0.053
65,1.614,1.14,0.855,0.285,49.235,3.623,0.145,0.054,4.376,4.027,3.74,0.053
66,1.617,1.14,0.855,0.285,51.89,3.695,0.148,0.054,4.429,4.08,3.793,0.053
67,1.619,1.141,0.856,0.285,54.681,3.769,0.151,0.054,4.483,4.133,3.845,0.053
68,1.621,1.141,0.856,0.285,57.615,3.844,0.154,0.054,4.537,4.186,3.898,0.053
69,1.623,1.142,0.856,0.285,60.7,3.921,0.157,0.054,4.59,4.238,3.951,0.053
70,1.625,1.142,0.857,0.286,63.943,4,0.16,0.053,4.644,4.291,4.003,0.052
71,1.627,1.143,0.857,0.286,67.352,4.08,0.163,0.053,4.697,4.343,4.056,0.052
72,1.629,1.143,0.857,0.286,70.934,4.161,0.166,0.053,4.75,4.395,4.108,0.052
73,1.631,1.143,0.858,0.286,74.699,4.244,0.17,0.053,4.803,4.448,4.16,0.052
74,1.633,1.144,0.858,0.286,78.656,4.329,0.173,0.053,4.855,4.5,4.212,0.052
75,1.635,1.144,0.858,0.286,82.813,4.416,0.177,0.053,4.908,4.551,4.264,0.052
76,1.637,1.145,0.859,0.286,87.181,4.504,0.18,0.053,4.961,4.603,4.316,0.052
77,1.638,1.145,0.859,0.286,91.771,4.594,0.184,0.053,5.013,4.655,4.367,0.052
78,1.64,1.146,0.859,0.286,96.593,4.686,0.187,0.053,5.065,4.706,4.419,0.052
79,1.642,1.146,0.859,0.286,101.658,4.78,0.191,0.052,5.117,4.758,4.47,0.051
80,1.644,1.146,0.86,0.287,106.979,4.875,0.195,0.052,5.17,4.809,4.522,0.051
81,1.645,1.147,0.86,0.287,112.567,4.973,0.199,0.052,5.221,4.861,4.573,0.051
82,1.647,1.147,0.86,0.287,118.437,5.072,0.203,0.052,5.273,4.912,4.624,0.051
83,1.648,1.148,0.861,0.287,124.602,5.174,0.207,0.052,5.325,4.963,4.675,0.051
84,1.65,1.148,0.861,0.287,131.077,5.277,0.211,0.052,5.377,5.014,4.726,0.051
85,1.652,1.148,0.861,0.287,137.876,5.383,0.215,0.052,5.428,5.065,4.777,0.051
86,1.653,1.149,0.861,0.287,145.015,5.491,0.22,0.052,5.48,5.115,4.828,0.051
87,1.655,1.149,0.862,0.287,152.511,5.6,0.224,0.052,5.531,5.166,4.878,0.051
88,1.656,1.149,0.862,0.287,160.382,5.712,0.228,0.052,5.582,5.217,4.929,0.051
89,1.658,1.15,0.862,0.287,168.645,5.827,0.233,0.052,5.633,5.267,4.98,0.051
90,1.659,1.15,0.862,0.287,177.32,5.943,0.238,0.051,5.684,5.318,5.03,0.05
91,1.66,1.15,0.863,0.288,186.427,6.062,0.242,0.051,5.735,5.368,5.08,0.05
92,1.662,1.151,0.863,0.288,195.987,6.183,0.247,0.051,5.786,5.418,5.131,0.05
93,1.663,1.151,0.863,0.288,206.022,6.307,0.252,0.051,5.837,5.468,5.181,0.05
94,1.664,1.151,0.863,0.288,216.554,6.433,0.257,0.051,5.887,5.519,5.231,0.05
95,1.666,1.151,0.864,0.288,227.608,6.562,0.262,0.051,5.938,5.569,5.281,0.05
96,1.667,1.152,0.864,0.288,239.21,6.693,0.268,0.051,5.988,5.619,5.331,0.05
97,1.668,1.152,0.864,0.288,251.386,6.827,0.273,0.051,6.039,5.669,5.381,0.05
98,1.67,1.152,0.864,0.288,264.163,6.963,0.279,0.051,6.089,5.718,5.431,0.05
99,1.671,1.153,0.864,0.288,277.57,7.103,0.284,0.051,6.139,5.768,5.48,0.05
100,1.672,1.153,0.865,0.288,291.639,7.245,0.29,0.051,6.189,5.818,5.53,0.05
101,1.673,1.153,0.865,0.288,306.401,7.39,0.296,0.051,6.24,5.867,5.58,0.05
102,1.674,1.153,0.865,0.288,321.89,7.537,0.301,0.051,6.29,5.917,5.629,0.05
103,1.675,1.154,0.865,0.288,338.14,7.688,0.308,0.05,6.34,5.966,5.679,0.049
104,1.677,1.154,0.865,0.288,355.188,7.842,0.314,0.05,6.389,6.016,5.728,0.049
105,1.678,1.154,0.866,0.289,373.074,7.999,0.32,0.05,6.439,6.065,5.777,0.049
106,1.679,1.154,0.866,0.289,391.836,8.159,0.326,0.05,6.489,6.114,5.827,0.049
107,1.68,1.155,0.866,0.289,411.517,8.322,0.333,0.05,6.539,6.164,5.876,0.049
108,1.681,1.155,0.866,0.289,432.162,8.488,0.34,0.05,6.588,6.213,5.925,0.049
109,1.682,1.155,0.866,0.289,453.816,8.658,0.346,0.05,6.638,6.262,5.974,0.049
110,1.683,1.155,0.867,0.289,476.529,8.831,0.353,0.05,6.687,6.311,6.023,0.049
111,1.684,1.156,0.867,0.289,500.35,9.008,0.36,0.05,6.736,6.36,6.072,0.049
112,1.685,1.156,0.867,0.289,525.334,9.188,0.368,0.05,6.786,6.409,6.121,0.049
113,1.686,1.156,0.867,0.289,551.536,9.372,0.375,0.05,6.835,6.458,6.17,0.049
114,1.687,1.156,0.867,0.289,579.013,9.559,0.382,0.05,6.884,6.507,6.219,0.049
115,1.688,1.156,0.867,0.289,607.828,9.75,0.39,0.05,6.933,6.555,6.268,0.049
116,1.689,1.157,0.868,0.289,638.044,9.945,0.398,0.05,6.982,6.604,6.316,0.049
117,1.69,1.157,0.868,0.289,669.729,10.144,0.406,0.05,7.031,6.653,6.365,0.049
118,1.691,1.157,0.868,0.289,702.951,10.347,0.414,0.05,7.08,6.701,6.414,0.049
119,1.691,1.157,0.868,0.289,737.786,10.554,0.422,0.05,7.129,6.75,6.462,0.049
120,1.692,1.158,0.868,0.289,774.31,10.765,0.431,0.05,7.178,6.798,6.511,0.048
121,1.693,1.158,0.868,0.289,812.603,10.98,0.439,0.049,7.227,6.847,6.559,0.048
122,1.694,1.158,0.868,0.289,852.75,11.2,0.448,0.049,7.276,6.895,6.607,0.048
123,1.695,1.158,0.869,0.29,894.839,11.424,0.457,0.049,7.324,6.943,6.656,0.048
124,1.696,1.158,0.869,0.29,938.963,11.653,0.466,0.049,7.373,6.992,6.704,0.048
125,1.697,1.158,0.869,0.29,985.219,11.886,0.475,0.049,7.421,7.04,6.752,0.048
126,1.697,1.159,0.869,0.29,1033.708,12.123,0.485,0.049,7.47,7.088,6.8,0.048
127,1.698,1.159,0.869,0.29,1084.536,12.366,0.495,0.049,7.518,7.136,6.849,0.048
128,1.699,1.159,0.869,0.29,1137.815,12.613,0.505,0.049,7.567,7.184,6.897,0.048
129,1.7,1.159,0.869,0.29,1193.661,12.865,0.515,0.049,7.615,7.232,6.945,0.048
130,1.7,1.159,0.869,0.29,1252.196,13.123,0.525,0.049,7.664,7.28,6.993,0.048
131,1.701,1.16,0.87,0.29,1313.548,13.385,0.535,0.049,7.712,7.328,7.041,0.048
132,1.702,1.16,0.87,0.29,1377.85,13.653,0.546,0.049,7.76,7.376,7.089,0.048
133,1.703,1.16,0.87,0.29,1445.243,13.926,0.557,0.049,7.808,7.424,7.137,0.048
134,1.703,1.16,0.87,0.29,1515.872,14.204,0.568,0.049,7.856,7.472,7.184,0.048
135,1.704,1.16,0.87,0.29,1589.892,14.488,0.58,0.049,7.904,7.52,7.232,0.048
136,1.705,1.16,0.87,0.29,1667.463,14.778,0.591,0.049,7.952,7.568,7.28,0.048
137,1.705,1.16,0.87,0.29,1748.754,15.074,0.603,0.049,8,7.615,7.328,0.048
138,1.706,1.161,0.87,0.29,1833.939,15.375,0.615,0.049,8.048,7.663,7.375,0.048
139,1.707,1.161,0.871,0.29,1923.204,15.683,0.627,0.049,8.096,7.711,7.423,0.048
140,1.707,1.161,0.871,0.29,2016.742,15.996,0.64,0.049,8.144,7.758,7.471,0.048
141,1.708,1.161,0.871,0.29,2114.754,16.316,0.653,0.049,8.192,7.806,7.518,0.048
142,1.709,1.161,0.871,0.29,2217.453,16.643,0.666,0.049,8.24,7.854,7.566,0.048
143,1.709,1.161,0.871,0.29,2325.059,16.976,0.679,0.049,8.288,7.901,7.613,0.048
144,1.71,1.161,0.871,0.29,2437.804,17.315,0.693,0.048,8.335,7.949,7.661,0.047
145,1.711,1.162,0.871,0.29,2555.93,17.661,0.706,0.048,8.383,7.996,7.708,0.047
146,1.711,1.162,0.871,0.29,2679.693,18.015,0.721,0.048,8.431,8.043,7.756,0.047
147,1.712,1.162,0.871,0.29,2809.357,18.375,0.735,0.048,8.478,8.091,7.803,0.047
148,1.712,1.162,0.872,0.291,2945.201,18.742,0.75,0.048,8.526,8.138,7.85,0.047
149,1.713,1.162,0.872,0.291,3087.516,19.117,0.765,0.048,8.573,8.185,7.898,0.047
150,1.714,1.162,0.872,0.291,3236.607,19.5,0.78,0.048,8.621,8.233,7.945,0.047
151,1.714,1.162,0.872,0.291,3392.793,19.89,0.796,0.048,8.668,8.28,7.992,0.047
152,1.715,1.163,0.872,0.291,3556.409,20.287,0.811,0.048,8.716,8.327,8.039,0.047
153,1.715,1.163,0.872,0.291,3727.803,20.693,0.828,0.048,8.763,8.374,8.087,0.047
154,1.716,1.163,0.872,0.291,3907.342,21.107,0.844,0.048,8.81,8.421,8.134,0.047
155,1.716,1.163,0.872,0.291,4095.41,21.529,0.861,0.048,8.858,8.469,8.181,0.047
156,1.717,1.163,0.872,0.291,4292.406,21.96,0.878,0.048,8.905,8.516,8.228,0.047
157,1.717,1.163,0.872,0.291,4498.751,22.399,0.896,0.048,8.952,8.563,8.275,0.047
158,1.718,1.163,0.872,0.291,4714.885,22.847,0.914,0.048,9,8.61,8.322,0.047
159,1.718,1.163,0.873,0.291,4941.266,23.304,0.932,0.048,9.047,8.657,8.369,0.047
160,1.719,1.163,0.873,0.291,5178.376,23.77,0.951,0.048,9.094,8.704,8.416,0.047
161,1.719,1.164,0.873,0.291,5426.718,24.245,0.97,0.048,9.141,8.751,8.463,0.047
162,1.72,1.164,0.873,0.291,5686.821,24.73,0.989,0.048,9.188,8.797,8.51,0.047
163,1.72,1.164,0.873,0.291,5959.235,25.225,1.009,0.048,9.235,8.844,8.557,0.047
164,1.721,1.164,0.873,0.291,6244.537,25.729,1.029,0.048,9.282,8.891,8.604,0.047
165,1.721,1.164,0.873,0.291,6543.333,26.244,1.05,0.048,9.329,8.938,8.65,0.047
166,1.722,1.164,0.873,0.291,6856.255,26.769,1.071,0.048,9.376,8.985,8.697,0.047
167,1.722,1.164,0.873,0.291,7183.964,27.304,1.092,0.048,9.423,9.032,8.744,0.047
168,1.723,1.164,0.873,0.291,7527.153,27.85,1.114,0.048,9.47,9.078,8.791,0.047
169,1.723,1.164,0.873,0.291,7886.548,28.407,1.136,0.048,9.517,9.125,8.837,0.047
170,1.723,1.164,0.873,0.291,8262.906,28.975,1.159,0.048,9.564,9.172,8.884,0.047
171,1.724,1.165,0.873,0.291,8657.022,29.555,1.182,0.048,9.611,9.218,8.931,0.047
172,1.724,1.165,0.874,0.291,9069.727,30.146,1.206,0.048,9.658,9.265,8.977,0.047
173,1.725,1.165,0.874,0.291,9501.89,30.749,1.23,0.048,9.704,9.312,9.024,0.047
174,1.725,1.165,0.874,0.291,9954.421,31.364,1.255,0.048,9.751,9.358,9.071,0.047
175,1.726,1.165,0.874,0.291,10428.272,31.991,1.28,0.048,9.798,9.405,9.117,0.047
176,1.726,1.165,0.874,0.291,10924.441,32.631,1.305,0.048,9.845,9.452,9.164,0.047
177,1.726,1.165,0.874,0.291,11443.97,33.284,1.331,0.048,9.891,9.498,9.21,0.047
178,1.727,1.165,0.874,0.291,11987.949,33.949,1.358,0.048,9.938,9.545,9.257,0.047
179,1.727,1.165,0.874,0.291,12557.522,34.628,1.385,0.048,9.985,9.591,9.303,0.046
180,1.728,1.165,0.874,0.291,13153.883,35.321,1.413,0.047,10.031,9.638,9.35,0.046
181,1.728,1.165,0.874,0.291,13778.283,36.027,1.441,0.047,10.078,9.684,9.396,0.046
182,1.728,1.166,0.874,0.291,14432.03,36.748,1.47,0.047,10.124,9.73,9.443,0.046
183,1.729,1.166,0.874,0.291,15116.493,37.483,1.499,0.047,10.171,9.777,9.489,0.046
184,1.729,1.166,0.874,0.291,15833.106,38.232,1.529,0.047,10.217,9.823,9.536,0.046
185,1.729,1.166,0.874,0.291,16583.367,38.997,1.56,0.047,10.264,9.87,9.582,0.046
186,1.73,1.166,0.874,0.291,17368.846,39.777,1.591,0.047,10.31,9.916,9.628,0.046
187,1.73,1.166,0.874,0.291,18191.183,40.573,1.623,0.047,10.357,9.962,9.675,0.046
188,1.73,1.166,0.875,0.292,19052.098,41.384,1.655,0.047,10.403,10.009,9.721,0.046
189,1.731,1.166,0.875,0.292,19953.387,42.212,1.688,0.047,10.45,10.055,9.767,0.046
190,1.731,1.166,0.875,0.292,20896.931,43.056,1.722,0.047,10.496,10.101,9.813,0.046
191,1.731,1.166,0.875,0.292,21884.698,43.917,1.757,0.047,10.542,10.147,9.86,0.046
192,1.732,1.166,0.875,0.292,22918.748,44.795,1.792,0.047,10.589,10.194,9.906,0.046
193,1.732,1.166,0.875,0.292,24001.233,45.691,1.828,0.047,10.635,10.24,9.952,0.046
194,1.732,1.166,0.875,0.292,25134.41,46.605,1.864,0.047,10.681,10.286,9.998,0.046
195,1.733,1.167,0.875,0.292,26320.637,47.537,1.901,0.047,10.728,10.332,10.044,0.046
196,1.733,1.167,0.875,0.292,27562.381,48.488,1.94,0.047,10.774,10.378,10.091,0.046
197,1.733,1.167,0.875,0.292,28862.225,49.458,1.978,0.047,10.82,10.424,10.137,0.046
198,1.734,1.167,0.875,0.292,30222.872,50.447,2.018,0.047,10.867,10.471,10.183,0.046
199,1.734,1.167,0.875,0.292,31647.147,51.456,2.058,0.047,10.913,10.517,10.229,0.046
200,1.734,1.167,0.875,0.292,33138.009,52.485,2.099,0.047,10.959,10.563,10.275,0.046
201,1.735,1.167,0.875,0.292,34698.553,53.535,2.141,0.047,11.005,10.609,10.321,0.046
202,1.735,1.167,0.875,0.292,36332.015,54.605,2.184,0.047,11.051,10.655,10.367,0.046
203,1.735,1.167,0.875,0.292,38041.785,55.697,2.228,0.047,11.097,10.701,10.413,0.046
204,1.735,1.167,0.875,0.292,39831.407,56.811,2.272,0.047,11.144,10.747,10.459,0.046
205,1.736,1.167,0.875,0.292,41704.588,57.948,2.318,0.047,11.19,10.793,10.505,0.046
206,1.736,1.167,0.875,0.292,43665.209,59.107,2.364,0.047,11.236,10.839,10.551,0.046
207,1.736,1.167,0.875,0.292,45717.328,60.289,2.412,0.047,11.282,10.885,10.597,0.046
208,1.736,1.167,0.876,0.292,47865.194,61.494,2.46,0.047,11.328,10.931,10.643,0.046
209,1.737,1.167,0.876,0.292,50113.249,62.724,2.509,0.047,11.374,10.977,10.689,0.046
210,1.737,1.167,0.876,0.292,52466.142,63.979,2.559,0.047,11.42,11.023,10.735,0.046
211,1.737,1.168,0.876,0.292,54928.737,65.258,2.61,0.047,11.466,11.069,10.781,0.046
212,1.737,1.168,0.876,0.292,57506.121,66.564,2.663,0.047,11.512,11.115,10.827,0.046
213,1.738,1.168,0.876,0.292,60203.618,67.895,2.716,0.047,11.558,11.16,10.873,0.046
214,1.738,1.168,0.876,0.292,63026.797,69.253,2.77,0.047,11.604,11.206,10.919,0.046
215,1.738,1.168,0.876,0.292,65981.486,70.638,2.826,0.047,11.65,11.252,10.965,0.046
216,1.738,1.168,0.876,0.292,69073.779,72.051,2.882,0.047,11.696,11.298,11.01,0.046
217,1.739,1.168,0.876,0.292,72310.054,73.492,2.94,0.047,11.742,11.344,11.056,0.046
218,1.739,1.168,0.876,0.292,75696.982,74.961,2.998,0.047,11.788,11.39,11.102,0.046
219,1.739,1.168,0.876,0.292,79241.543,76.461,3.058,0.047,11.834,11.436,11.148,0.046
220,1.739,1.168,0.876,0.292,82951.04,77.99,3.12,0.047,11.88,11.481,11.194,0.046
221,1.74,1.168,0.876,0.292,86833.111,79.55,3.182,0.047,11.925,11.527,11.239,0.046
222,1.74,1.168,0.876,0.292,90895.747,81.141,3.246,0.047,11.971,11.573,11.285,0.046
223,1.74,1.168,0.876,0.292,95147.309,82.763,3.311,0.047,12.017,11.619,11.331,0.046
224,1.74,1.168,0.876,0.292,99596.544,84.419,3.377,0.047,12.063,11.664,11.377,0.046
225,1.741,1.168,0.876,0.292,104252.6,86.107,3.444,0.047,12.109,11.71,11.422,0.046
226,1.741,1.168,0.876,0.292,109125.05,87.829,3.513,0.047,12.155,11.756,11.468,0.046
227,1.741,1.168,0.876,0.292,114223.907,89.586,3.583,0.047,12.2,11.802,11.514,0.046
228,1.741,1.168,0.876,0.292,119559.646,91.377,3.655,0.047,12.246,11.847,11.56,0.046
229,1.741,1.168,0.876,0.292,125143.225,93.205,3.728,0.047,12.292,11.893,11.605,0.046
230,1.742,1.169,0.876,0.292,130986.109,95.069,3.803,0.047,12.338,11.939,11.651,0.046
231,1.742,1.169,0.876,0.292,137100.289,96.971,3.879,0.047,12.383,11.984,11.697,0.046
232,1.742,1.169,0.876,0.292,143498.311,98.91,3.956,0.047,12.429,12.03,11.742,0.046
233,1.742,1.169,0.876,0.292,150193.298,100.888,4.036,0.047,12.475,12.076,11.788,0.046
234,1.742,1.169,0.877,0.292,157198.978,102.906,4.116,0.047,12.521,12.121,11.833,0.046
235,1.743,1.169,0.877,0.292,164529.712,104.964,4.199,0.047,12.566,12.167,11.879,0.046
236,1.743,1.169,0.877,0.292,172200.524,107.063,4.283,0.047,12.612,12.212,11.925,0.046
